year,level,course,sex,enrolment_preu
1980,Junior College 1,Arts,MF,1158.0
1980,Junior College 1,Arts,F,903.0
1980,Junior College 1,Arts,M,255.0
1980,Junior College 1,Commerce,MF,1210.0
1980,Junior College 1,Commerce,F,995.0
1980,Junior College 1,Commerce,M,215.0
1980,Junior College 1,Science,MF,3301.0
1980,Junior College 1,Science,F,1355.0
1980,Junior College 1,Science,M,1946.0
1980,Junior College 2,Arts,MF,1167.0
1980,Junior College 2,Arts,F,889.0
1980,Junior College 2,Arts,M,278.0
1980,Junior College 2,Commerce,MF,852.0
1980,Junior College 2,Commerce,F,724.0
1980,Junior College 2,Commerce,M,128.0
1980,Junior College 2,Science,MF,3225.0
1980,Junior College 2,Science,F,1458.0
1980,Junior College 2,Science,M,1767.0
1980,Pre-University 1,Arts,MF,754.0
1980,Pre-University 1,Arts,F,521.0
1980,Pre-University 1,Arts,M,233.0
1980,Pre-University 1,Commerce,MF,1384.0
1980,Pre-University 1,Commerce,F,1006.0
1980,Pre-University 1,Commerce,M,378.0
1980,Pre-University 1,Science,MF,773.0
1980,Pre-University 1,Science,F,270.0
1980,Pre-University 1,Science,M,503.0
1980,Pre-University 2,Arts,MF,1038.0
1980,Pre-University 2,Arts,F,695.0
1980,Pre-University 2,Arts,M,343.0
1980,Pre-University 2,Commerce,MF,683.0
1980,Pre-University 2,Commerce,F,496.0
1980,Pre-University 2,Commerce,M,187.0
1980,Pre-University 2,Science,MF,727.0
1980,Pre-University 2,Science,F,306.0
1980,Pre-University 2,Science,M,421.0
1980,Pre-University 3,Arts,MF,
1980,Pre-University 3,Arts,F,
1980,Pre-University 3,Arts,M,
1980,Pre-University 3,Commerce,MF,
1980,Pre-University 3,Commerce,F,
1980,Pre-University 3,Commerce,M,
1980,Pre-University 3,Science,MF,
1980,Pre-University 3,Science,F,
1980,Pre-University 3,Science,M,
1981,Junior College 1,Arts,MF,777.0
1981,Junior College 1,Arts,F,576.0
1981,Junior College 1,Arts,M,201.0
1981,Junior College 1,Commerce,MF,1418.0
1981,Junior College 1,Commerce,F,1138.0
1981,Junior College 1,Commerce,M,280.0
1981,Junior College 1,Science,MF,3128.0
1981,Junior College 1,Science,F,1235.0
1981,Junior College 1,Science,M,1893.0
1981,Junior College 2,Arts,MF,1156.0
1981,Junior College 2,Arts,F,908.0
1981,Junior College 2,Arts,M,248.0
1981,Junior College 2,Commerce,MF,1204.0
1981,Junior College 2,Commerce,F,986.0
1981,Junior College 2,Commerce,M,218.0
1981,Junior College 2,Science,MF,3044.0
1981,Junior College 2,Science,F,1320.0
1981,Junior College 2,Science,M,1724.0
1981,Pre-University 1,Arts,MF,502.0
1981,Pre-University 1,Arts,F,348.0
1981,Pre-University 1,Arts,M,154.0
1981,Pre-University 1,Commerce,MF,1301.0
1981,Pre-University 1,Commerce,F,913.0
1981,Pre-University 1,Commerce,M,388.0
1981,Pre-University 1,Science,MF,908.0
1981,Pre-University 1,Science,F,274.0
1981,Pre-University 1,Science,M,634.0
1981,Pre-University 2,Arts,MF,733.0
1981,Pre-University 2,Arts,F,505.0
1981,Pre-University 2,Arts,M,228.0
1981,Pre-University 2,Commerce,MF,1200.0
1981,Pre-University 2,Commerce,F,874.0
1981,Pre-University 2,Commerce,M,326.0
1981,Pre-University 2,Science,MF,965.0
1981,Pre-University 2,Science,F,314.0
1981,Pre-University 2,Science,M,651.0
1981,Pre-University 3,Arts,MF,839.0
1981,Pre-University 3,Arts,F,581.0
1981,Pre-University 3,Arts,M,258.0
1981,Pre-University 3,Commerce,MF,545.0
1981,Pre-University 3,Commerce,F,409.0
1981,Pre-University 3,Commerce,M,136.0
1981,Pre-University 3,Science,MF,433.0
1981,Pre-University 3,Science,F,207.0
1981,Pre-University 3,Science,M,226.0
1982,Junior College 1,Arts,MF,938.0
1982,Junior College 1,Arts,F,638.0
1982,Junior College 1,Arts,M,300.0
1982,Junior College 1,Commerce,MF,1452.0
1982,Junior College 1,Commerce,F,1101.0
1982,Junior College 1,Commerce,M,351.0
1982,Junior College 1,Science,MF,3319.0
1982,Junior College 1,Science,F,1211.0
1982,Junior College 1,Science,M,2108.0
1982,Junior College 2,Arts,MF,930.0
1982,Junior College 2,Arts,F,681.0
1982,Junior College 2,Arts,M,249.0
1982,Junior College 2,Commerce,MF,1498.0
1982,Junior College 2,Commerce,F,1193.0
1982,Junior College 2,Commerce,M,305.0
1982,Junior College 2,Science,MF,3621.0
1982,Junior College 2,Science,F,1392.0
1982,Junior College 2,Science,M,2229.0
1982,Pre-University 1,Arts,MF,532.0
1982,Pre-University 1,Arts,F,362.0
1982,Pre-University 1,Arts,M,170.0
1982,Pre-University 1,Commerce,MF,1147.0
1982,Pre-University 1,Commerce,F,769.0
1982,Pre-University 1,Commerce,M,378.0
1982,Pre-University 1,Science,MF,531.0
1982,Pre-University 1,Science,F,192.0
1982,Pre-University 1,Science,M,339.0
1982,Pre-University 2,Arts,MF,379.0
1982,Pre-University 2,Arts,F,255.0
1982,Pre-University 2,Arts,M,124.0
1982,Pre-University 2,Commerce,MF,1260.0
1982,Pre-University 2,Commerce,F,878.0
1982,Pre-University 2,Commerce,M,382.0
1982,Pre-University 2,Science,MF,502.0
1982,Pre-University 2,Science,F,156.0
1982,Pre-University 2,Science,M,346.0
1982,Pre-University 3,Arts,MF,674.0
1982,Pre-University 3,Arts,F,442.0
1982,Pre-University 3,Arts,M,232.0
1982,Pre-University 3,Commerce,MF,1159.0
1982,Pre-University 3,Commerce,F,832.0
1982,Pre-University 3,Commerce,M,327.0
1982,Pre-University 3,Science,MF,697.0
1982,Pre-University 3,Science,F,253.0
1982,Pre-University 3,Science,M,444.0
1983,Junior College 1,Arts,MF,1276.0
1983,Junior College 1,Arts,F,917.0
1983,Junior College 1,Arts,M,359.0
1983,Junior College 1,Commerce,MF,1326.0
1983,Junior College 1,Commerce,F,1010.0
1983,Junior College 1,Commerce,M,316.0
1983,Junior College 1,Science,MF,3908.0
1983,Junior College 1,Science,F,1622.0
1983,Junior College 1,Science,M,2286.0
1983,Junior College 2,Arts,MF,1013.0
1983,Junior College 2,Arts,F,697.0
1983,Junior College 2,Arts,M,316.0
1983,Junior College 2,Commerce,MF,1426.0
1983,Junior College 2,Commerce,F,1095.0
1983,Junior College 2,Commerce,M,331.0
1983,Junior College 2,Science,MF,3421.0
1983,Junior College 2,Science,F,1241.0
1983,Junior College 2,Science,M,2180.0
1983,Pre-University 1,Arts,MF,843.0
1983,Pre-University 1,Arts,F,550.0
1983,Pre-University 1,Arts,M,293.0
1983,Pre-University 1,Commerce,MF,1175.0
1983,Pre-University 1,Commerce,F,794.0
1983,Pre-University 1,Commerce,M,381.0
1983,Pre-University 1,Science,MF,770.0
1983,Pre-University 1,Science,F,323.0
1983,Pre-University 1,Science,M,447.0
1983,Pre-University 2,Arts,MF,471.0
1983,Pre-University 2,Arts,F,320.0
1983,Pre-University 2,Arts,M,151.0
1983,Pre-University 2,Commerce,MF,980.0
1983,Pre-University 2,Commerce,F,651.0
1983,Pre-University 2,Commerce,M,329.0
1983,Pre-University 2,Science,MF,401.0
1983,Pre-University 2,Science,F,154.0
1983,Pre-University 2,Science,M,247.0
1983,Pre-University 3,Arts,MF,433.0
1983,Pre-University 3,Arts,F,280.0
1983,Pre-University 3,Arts,M,153.0
1983,Pre-University 3,Commerce,MF,1244.0
1983,Pre-University 3,Commerce,F,853.0
1983,Pre-University 3,Commerce,M,391.0
1983,Pre-University 3,Science,MF,518.0
1983,Pre-University 3,Science,F,164.0
1983,Pre-University 3,Science,M,354.0
1984,Junior College 1,Arts,MF,1412.0
1984,Junior College 1,Arts,F,1006.0
1984,Junior College 1,Arts,M,406.0
1984,Junior College 1,Commerce,MF,1802.0
1984,Junior College 1,Commerce,F,1335.0
1984,Junior College 1,Commerce,M,467.0
1984,Junior College 1,Science,MF,4587.0
1984,Junior College 1,Science,F,1729.0
1984,Junior College 1,Science,M,2858.0
1984,Junior College 2,Arts,MF,1325.0
1984,Junior College 2,Arts,F,942.0
1984,Junior College 2,Arts,M,383.0
1984,Junior College 2,Commerce,MF,1415.0
1984,Junior College 2,Commerce,F,1072.0
1984,Junior College 2,Commerce,M,343.0
1984,Junior College 2,Science,MF,4168.0
1984,Junior College 2,Science,F,1697.0
1984,Junior College 2,Science,M,2471.0
1984,Pre-University 1,Arts,MF,779.0
1984,Pre-University 1,Arts,F,448.0
1984,Pre-University 1,Arts,M,331.0
1984,Pre-University 1,Commerce,MF,1199.0
1984,Pre-University 1,Commerce,F,810.0
1984,Pre-University 1,Commerce,M,389.0
1984,Pre-University 1,Science,MF,487.0
1984,Pre-University 1,Science,F,200.0
1984,Pre-University 1,Science,M,287.0
1984,Pre-University 2,Arts,MF,770.0
1984,Pre-University 2,Arts,F,509.0
1984,Pre-University 2,Arts,M,261.0
1984,Pre-University 2,Commerce,MF,1070.0
1984,Pre-University 2,Commerce,F,724.0
1984,Pre-University 2,Commerce,M,346.0
1984,Pre-University 2,Science,MF,553.0
1984,Pre-University 2,Science,F,247.0
1984,Pre-University 2,Science,M,306.0
1984,Pre-University 3,Arts,MF,483.0
1984,Pre-University 3,Arts,F,327.0
1984,Pre-University 3,Arts,M,156.0
1984,Pre-University 3,Commerce,MF,1015.0
1984,Pre-University 3,Commerce,F,658.0
1984,Pre-University 3,Commerce,M,357.0
1984,Pre-University 3,Science,MF,406.0
1984,Pre-University 3,Science,F,148.0
1984,Pre-University 3,Science,M,258.0
1985,Junior College 1,Arts,MF,2061.0
1985,Junior College 1,Arts,F,1534.0
1985,Junior College 1,Arts,M,527.0
1985,Junior College 1,Commerce,MF,2131.0
1985,Junior College 1,Commerce,F,1589.0
1985,Junior College 1,Commerce,M,542.0
1985,Junior College 1,Science,MF,5636.0
1985,Junior College 1,Science,F,2147.0
1985,Junior College 1,Science,M,3489.0
1985,Junior College 2,Arts,MF,1425.0
1985,Junior College 2,Arts,F,1015.0
1985,Junior College 2,Arts,M,410.0
1985,Junior College 2,Commerce,MF,1792.0
1985,Junior College 2,Commerce,F,1340.0
1985,Junior College 2,Commerce,M,452.0
1985,Junior College 2,Science,MF,4609.0
1985,Junior College 2,Science,F,1761.0
1985,Junior College 2,Science,M,2848.0
1985,Pre-University 1,Arts,MF,788.0
1985,Pre-University 1,Arts,F,488.0
1985,Pre-University 1,Arts,M,300.0
1985,Pre-University 1,Commerce,MF,1264.0
1985,Pre-University 1,Commerce,F,889.0
1985,Pre-University 1,Commerce,M,375.0
1985,Pre-University 1,Science,MF,415.0
1985,Pre-University 1,Science,F,173.0
1985,Pre-University 1,Science,M,242.0
1985,Pre-University 2,Arts,MF,716.0
1985,Pre-University 2,Arts,F,419.0
1985,Pre-University 2,Arts,M,297.0
1985,Pre-University 2,Commerce,MF,1046.0
1985,Pre-University 2,Commerce,F,720.0
1985,Pre-University 2,Commerce,M,326.0
1985,Pre-University 2,Science,MF,402.0
1985,Pre-University 2,Science,F,170.0
1985,Pre-University 2,Science,M,232.0
1985,Pre-University 3,Arts,MF,750.0
1985,Pre-University 3,Arts,F,497.0
1985,Pre-University 3,Arts,M,253.0
1985,Pre-University 3,Commerce,MF,1103.0
1985,Pre-University 3,Commerce,F,739.0
1985,Pre-University 3,Commerce,M,364.0
1985,Pre-University 3,Science,MF,561.0
1985,Pre-University 3,Science,F,249.0
1985,Pre-University 3,Science,M,312.0
1986,Junior College 1,Arts,MF,2259.0
1986,Junior College 1,Arts,F,1615.0
1986,Junior College 1,Arts,M,644.0
1986,Junior College 1,Commerce,MF,2721.0
1986,Junior College 1,Commerce,F,1961.0
1986,Junior College 1,Commerce,M,760.0
1986,Junior College 1,Science,MF,6100.0
1986,Junior College 1,Science,F,2172.0
1986,Junior College 1,Science,M,3928.0
1986,Junior College 2,Arts,MF,2028.0
1986,Junior College 2,Arts,F,1515.0
1986,Junior College 2,Arts,M,513.0
1986,Junior College 2,Commerce,MF,2133.0
1986,Junior College 2,Commerce,F,1596.0
1986,Junior College 2,Commerce,M,537.0
1986,Junior College 2,Science,MF,5485.0
1986,Junior College 2,Science,F,2076.0
1986,Junior College 2,Science,M,3409.0
1986,Pre-University 1,Arts,MF,816.0
1986,Pre-University 1,Arts,F,480.0
1986,Pre-University 1,Arts,M,336.0
1986,Pre-University 1,Commerce,MF,1273.0
1986,Pre-University 1,Commerce,F,864.0
1986,Pre-University 1,Commerce,M,409.0
1986,Pre-University 1,Science,MF,385.0
1986,Pre-University 1,Science,F,146.0
1986,Pre-University 1,Science,M,239.0
1986,Pre-University 2,Arts,MF,734.0
1986,Pre-University 2,Arts,F,460.0
1986,Pre-University 2,Arts,M,274.0
1986,Pre-University 2,Commerce,MF,1186.0
1986,Pre-University 2,Commerce,F,845.0
1986,Pre-University 2,Commerce,M,341.0
1986,Pre-University 2,Science,MF,351.0
1986,Pre-University 2,Science,F,150.0
1986,Pre-University 2,Science,M,201.0
1986,Pre-University 3,Arts,MF,715.0
1986,Pre-University 3,Arts,F,428.0
1986,Pre-University 3,Arts,M,287.0
1986,Pre-University 3,Commerce,MF,1011.0
1986,Pre-University 3,Commerce,F,696.0
1986,Pre-University 3,Commerce,M,315.0
1986,Pre-University 3,Science,MF,401.0
1986,Pre-University 3,Science,F,164.0
1986,Pre-University 3,Science,M,237.0
1987,Junior College 1,Arts,MF,2744.0
1987,Junior College 1,Arts,F,1935.0
1987,Junior College 1,Arts,M,809.0
1987,Junior College 1,Commerce,MF,2633.0
1987,Junior College 1,Commerce,F,1909.0
1987,Junior College 1,Commerce,M,724.0
1987,Junior College 1,Science,MF,6507.0
1987,Junior College 1,Science,F,2410.0
1987,Junior College 1,Science,M,4097.0
1987,Junior College 2,Arts,MF,2176.0
1987,Junior College 2,Arts,F,1582.0
1987,Junior College 2,Arts,M,594.0
1987,Junior College 2,Commerce,MF,2603.0
1987,Junior College 2,Commerce,F,1887.0
1987,Junior College 2,Commerce,M,716.0
1987,Junior College 2,Science,MF,5838.0
1987,Junior College 2,Science,F,2106.0
1987,Junior College 2,Science,M,3732.0
1987,Pre-University 1,Arts,MF,718.0
1987,Pre-University 1,Arts,F,416.0
1987,Pre-University 1,Arts,M,302.0
1987,Pre-University 1,Commerce,MF,1742.0
1987,Pre-University 1,Commerce,F,1195.0
1987,Pre-University 1,Commerce,M,547.0
1987,Pre-University 1,Science,MF,226.0
1987,Pre-University 1,Science,F,71.0
1987,Pre-University 1,Science,M,155.0
1987,Pre-University 2,Arts,MF,706.0
1987,Pre-University 2,Arts,F,422.0
1987,Pre-University 2,Arts,M,284.0
1987,Pre-University 2,Commerce,MF,1212.0
1987,Pre-University 2,Commerce,F,818.0
1987,Pre-University 2,Commerce,M,394.0
1987,Pre-University 2,Science,MF,305.0
1987,Pre-University 2,Science,F,115.0
1987,Pre-University 2,Science,M,190.0
1987,Pre-University 3,Arts,MF,698.0
1987,Pre-University 3,Arts,F,437.0
1987,Pre-University 3,Arts,M,261.0
1987,Pre-University 3,Commerce,MF,1086.0
1987,Pre-University 3,Commerce,F,766.0
1987,Pre-University 3,Commerce,M,320.0
1987,Pre-University 3,Science,MF,314.0
1987,Pre-University 3,Science,F,134.0
1987,Pre-University 3,Science,M,180.0
1988,Junior College 1,Arts,MF,2991.0
1988,Junior College 1,Arts,F,2163.0
1988,Junior College 1,Arts,M,828.0
1988,Junior College 1,Commerce,MF,3393.0
1988,Junior College 1,Commerce,F,2525.0
1988,Junior College 1,Commerce,M,868.0
1988,Junior College 1,Science,MF,7557.0
1988,Junior College 1,Science,F,2811.0
1988,Junior College 1,Science,M,4746.0
1988,Junior College 2,Arts,MF,2467.0
1988,Junior College 2,Arts,F,1731.0
1988,Junior College 2,Arts,M,736.0
1988,Junior College 2,Commerce,MF,2422.0
1988,Junior College 2,Commerce,F,1748.0
1988,Junior College 2,Commerce,M,674.0
1988,Junior College 2,Science,MF,6138.0
1988,Junior College 2,Science,F,2284.0
1988,Junior College 2,Science,M,3854.0
1988,Pre-University 1,Arts,MF,797.0
1988,Pre-University 1,Arts,F,496.0
1988,Pre-University 1,Arts,M,301.0
1988,Pre-University 1,Commerce,MF,1840.0
1988,Pre-University 1,Commerce,F,1247.0
1988,Pre-University 1,Commerce,M,593.0
1988,Pre-University 1,Science,MF,207.0
1988,Pre-University 1,Science,F,81.0
1988,Pre-University 1,Science,M,126.0
1988,Pre-University 2,Arts,MF,611.0
1988,Pre-University 2,Arts,F,346.0
1988,Pre-University 2,Arts,M,265.0
1988,Pre-University 2,Commerce,MF,1534.0
1988,Pre-University 2,Commerce,F,1059.0
1988,Pre-University 2,Commerce,M,475.0
1988,Pre-University 2,Science,MF,128.0
1988,Pre-University 2,Science,F,40.0
1988,Pre-University 2,Science,M,88.0
1988,Pre-University 3,Arts,MF,642.0
1988,Pre-University 3,Arts,F,389.0
1988,Pre-University 3,Arts,M,253.0
1988,Pre-University 3,Commerce,MF,1081.0
1988,Pre-University 3,Commerce,F,737.0
1988,Pre-University 3,Commerce,M,344.0
1988,Pre-University 3,Science,MF,274.0
1988,Pre-University 3,Science,F,98.0
1988,Pre-University 3,Science,M,176.0
1989,Junior College 1,Arts,MF,2157.0
1989,Junior College 1,Arts,F,1554.0
1989,Junior College 1,Arts,M,603.0
1989,Junior College 1,Commerce,MF,2477.0
1989,Junior College 1,Commerce,F,1856.0
1989,Junior College 1,Commerce,M,621.0
1989,Junior College 1,Science,MF,6789.0
1989,Junior College 1,Science,F,2582.0
1989,Junior College 1,Science,M,4207.0
1989,Junior College 2,Arts,MF,2720.0
1989,Junior College 2,Arts,F,1958.0
1989,Junior College 2,Arts,M,762.0
1989,Junior College 2,Commerce,MF,3166.0
1989,Junior College 2,Commerce,F,2366.0
1989,Junior College 2,Commerce,M,800.0
1989,Junior College 2,Science,MF,7174.0
1989,Junior College 2,Science,F,2673.0
1989,Junior College 2,Science,M,4501.0
1989,Pre-University 1,Arts,MF,492.0
1989,Pre-University 1,Arts,F,311.0
1989,Pre-University 1,Arts,M,181.0
1989,Pre-University 1,Commerce,MF,1837.0
1989,Pre-University 1,Commerce,F,1302.0
1989,Pre-University 1,Commerce,M,535.0
1989,Pre-University 1,Science,MF,343.0
1989,Pre-University 1,Science,F,105.0
1989,Pre-University 1,Science,M,238.0
1989,Pre-University 2,Arts,MF,625.0
1989,Pre-University 2,Arts,F,394.0
1989,Pre-University 2,Arts,M,231.0
1989,Pre-University 2,Commerce,MF,1683.0
1989,Pre-University 2,Commerce,F,1137.0
1989,Pre-University 2,Commerce,M,546.0
1989,Pre-University 2,Science,MF,129.0
1989,Pre-University 2,Science,F,57.0
1989,Pre-University 2,Science,M,72.0
1989,Pre-University 3,Arts,MF,577.0
1989,Pre-University 3,Arts,F,335.0
1989,Pre-University 3,Arts,M,242.0
1989,Pre-University 3,Commerce,MF,1423.0
1989,Pre-University 3,Commerce,F,976.0
1989,Pre-University 3,Commerce,M,447.0
1989,Pre-University 3,Science,MF,137.0
1989,Pre-University 3,Science,F,37.0
1989,Pre-University 3,Science,M,100.0
1990,Junior College 1,Arts,MF,1992.0
1990,Junior College 1,Arts,F,1408.0
1990,Junior College 1,Arts,M,584.0
1990,Junior College 1,Commerce,MF,2685.0
1990,Junior College 1,Commerce,F,1951.0
1990,Junior College 1,Commerce,M,734.0
1990,Junior College 1,Science,MF,6370.0
1990,Junior College 1,Science,F,2464.0
1990,Junior College 1,Science,M,3906.0
1990,Junior College 2,Arts,MF,2056.0
1990,Junior College 2,Arts,F,1489.0
1990,Junior College 2,Arts,M,567.0
1990,Junior College 2,Commerce,MF,2399.0
1990,Junior College 2,Commerce,F,1809.0
1990,Junior College 2,Commerce,M,590.0
1990,Junior College 2,Science,MF,6593.0
1990,Junior College 2,Science,F,2504.0
1990,Junior College 2,Science,M,4089.0
1990,Pre-University 1,Arts,MF,351.0
1990,Pre-University 1,Arts,F,253.0
1990,Pre-University 1,Arts,M,98.0
1990,Pre-University 1,Commerce,MF,1901.0
1990,Pre-University 1,Commerce,F,1382.0
1990,Pre-University 1,Commerce,M,519.0
1990,Pre-University 1,Science,MF,280.0
1990,Pre-University 1,Science,F,85.0
1990,Pre-University 1,Science,M,195.0
1990,Pre-University 2,Arts,MF,416.0
